eta,C,n_hidden,epochs,accuracy_mean,accuracy_std
1e-05,0.001,30,500,0.668030261760371,0.005586827073894509
1e-05,0.001,50,500,0.666208201307328,0.006738127745006459
1e-05,0.001,50,500,0.666122252257823,0.0036308818866379257
1e-05,0.001,50,500,0.6621513414551352,0.005438784258970309
1e-05,0.001,30,500,0.6618936494466414,0.0076286971143710615
1e-05,0.001,30,500,0.6596760247866473,0.006504492210042687
1e-06,0.001,50,500,0.5610581731494141,0.002602570836847031
1e-06,0.001,50,500,0.5599236770194558,0.00411701948454857
1e-06,0.001,30,500,0.5556950638656061,0.007362202961993837
1e-06,0.001,30,500,0.5552307947919347,0.00446558845323357
1e-06,0.001,50,500,0.5535977584187657,0.0024456818045192658
1e-06,0.001,30,500,0.5534775027391448,0.003706743144058728
